Date,User,Kind,Model,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output,Total Tokens,Cost ($)
"2025-07-02T12:54:26.619Z","You","Included in Pro","o3",0,4787,14068,2263,21118,"Included"
"2025-07-02T11:37:38.236Z","You","Included in Pro","claude-4-sonnet",70298,170,1209598,10867,1290933,"Included"
"2025-07-02T11:10:36.437Z","You","Included in Pro","claude-4-sonnet",92000,3000,1884678,85117,2064795,"Included"
"2025-07-02T04:11:56.668Z","You","Included in Pro","o3",0,5713,53706,3119,62538,"Included"
"2025-07-02T03:51:39.619Z","You","Included in Pro","o3",0,6947,40796,5264,53007,"Included"
"2025-07-02T03:45:23.461Z","You","Included in Pro","claude-4-sonnet",3484,516,32187,1888,38075,"Included"
"2025-07-02T03:44:10.975Z","You","Included in Pro","claude-4-sonnet-thinking",443,501,7165,1209,9318,"Included"
"2025-07-02T03:38:42.455Z","You","Included in Pro","o3",0,19930,101730,3631,125291,"Included"
"2025-07-02T03:36:56.000Z","You","Included in Pro","o3",0,0,0,0,0,"Included"
"2025-07-02T03:27:31.358Z","You","Included in Pro","o3",0,33186,185510,9799,228495,"Included"
"2025-07-01T15:29:51.810Z","You","Included in Pro","o3",0,67945,382514,1395,451854,"Included"
"2025-07-01T15:17:22.361Z","You","Included in Pro","o3",0,78977,521638,2115,602730,"Included"
"2025-07-01T15:01:22.179Z","You","Included in Pro","o3",0,42248,174904,5293,222445,"Included"
"2025-07-01T14:56:51.611Z","You","Included in Pro","o3",0,2260,495190,602,498052,"Included"
"2025-07-01T14:53:07.435Z","You","Included in Pro","o3",0,1589,138484,474,140547,"Included"
"2025-07-01T14:49:21.237Z","You","Included in Pro","o3",0,64733,3834,202,68769,"Included"
"2025-07-01T14:22:30.601Z","You","Included in Pro","o3",0,64604,134894,792,200290,"Included"
"2025-07-01T14:08:31.300Z","You","Included in Pro","claude-4-sonnet",72084,1451,1738638,14430,1826603,"Included"
"2025-07-01T14:01:36.695Z","You","Included in Pro","claude-4-sonnet",4765,42,280816,2836,288459,"Included"
"2025-07-01T13:58:33.432Z","You","Included in Pro","claude-4-sonnet",37120,201,260803,8291,306415,"Included"
"2025-07-01T13:58:06.833Z","You","Aborted, Not Charged","claude-4-sonnet",0,0,0,0,0,"Included"
"2025-07-01T13:52:04.479Z","You","Included in Pro","claude-4-sonnet",25456,169,166851,4455,196931,"Included"
"2025-07-01T13:45:37.273Z","You","Included in Pro","claude-4-sonnet",19965,2175,271566,4751,298457,"Included"
"2025-07-01T13:32:05.418Z","You","Included in Pro","claude-4-sonnet-thinking",121174,424,270489,10178,402265,"Included"
"2025-07-01T13:31:59.131Z","You","Included in Pro","claude-4-sonnet-thinking",91564,253,7165,231,99213,"Included"
"2025-07-01T13:23:11.403Z","You","Included in Pro","claude-4-sonnet-thinking",12820,28,637623,10084,660555,"Included"
"2025-07-01T13:22:15.797Z","You","Included in Pro","claude-4-sonnet-thinking",3722,264,159309,1536,164831,"Included"
"2025-07-01T13:17:38.234Z","You","Included in Pro","claude-4-sonnet",7643,227,369468,5381,382719,"Included"
"2025-07-01T13:13:26.862Z","You","Included in Pro","claude-4-sonnet",13152,335,568626,6641,588754,"Included"
"2025-07-01T13:03:11.688Z","You","Included in Pro","claude-4-sonnet",27628,337,280354,24061,332380,"Included"
"2025-07-01T12:56:25.410Z","You","Included in Pro","claude-4-sonnet",6907,382,449285,4233,460807,"Included"
"2025-07-01T12:52:14.188Z","You","Included in Pro","claude-4-sonnet",9773,2695,29047,3343,44858,"Included"
"2025-07-01T12:47:48.979Z","You","Included in Pro","claude-4-sonnet",6889,1420,23886,3122,35317,"Included"
"2025-07-01T12:43:46.784Z","You","Included in Pro","claude-4-sonnet",7762,1698,14614,3244,27318,"Included"
"2025-07-01T08:08:34.834Z","You","Included in Pro","claude-4-sonnet",88154,1067,1764097,79742,1933060,"Included"
"2025-07-01T08:03:24.987Z","You","Included in Pro","claude-4-sonnet",21943,295,56387,3901,82526,"Included"
"2025-07-01T07:51:59.174Z","You","Included in Pro","claude-4-sonnet",13240,1759,75977,6068,97044,"Included"
"2025-07-01T07:46:21.591Z","You","Included in Pro","o3",0,8272,12532,2974,23778,"Included"
"2025-07-01T07:18:53.929Z","You","Included in Pro","claude-4-sonnet",3617,2055,35464,1482,42618,"Included"
"2025-07-01T06:59:15.736Z","You","Included in Pro","o3",0,17984,147634,4846,170464,"Included"
"2025-07-01T06:46:19.882Z","You","Included in Pro","o3",0,10744,91630,1154,103528,"Included"
"2025-07-01T06:34:03.117Z","You","Included in Pro","o3",0,24852,537608,5506,567966,"Included"
"2025-07-01T06:24:24.440Z","You","Included in Pro","o3",0,74202,955160,9098,1038460,"Included"
"2025-07-01T06:11:18.607Z","You","Included in Pro","claude-4-sonnet",12550,2014,66005,4073,84642,"Included"
"2025-06-30T17:07:47.157Z","You","Included in Pro","claude-4-sonnet",90306,2065,1798877,47394,1938642,"Included"
"2025-06-28T14:19:04.151Z","You","Included in Pro","claude-4-sonnet",21211,1583,421895,7081,451770,"Included"
"2025-06-28T13:40:51.820Z","You","Included in Pro","claude-4-sonnet-thinking",43863,219,167420,24596,236098,"Included"
"2025-06-28T13:32:33.949Z","You","Included in Pro","claude-4-sonnet",93932,1346,1536429,6488,1638195,"Included"
"2025-06-28T13:26:37.930Z","You","Included in Pro","claude-4-sonnet",79823,540,1510858,12945,1604166,"Included"
"2025-06-28T13:09:04.440Z","You","Included in Pro","claude-4-sonnet",57431,1801,2536653,22373,2618258,"Included"
"2025-06-28T12:45:13.396Z","You","Included in Pro","claude-4-sonnet",80657,173,3728550,41447,3850827,"Included"
"2025-06-27T15:10:28.742Z","You","Included in Pro","claude-4-sonnet",14248,2967,32799,5855,55869,"Included"
"2025-06-27T14:29:44.124Z","You","Included in Pro","claude-4-sonnet",0,0,0,0,0,"Included"
"2025-06-27T14:04:22.198Z","You","Included in Pro","claude-4-sonnet",71378,186,830230,29787,931581,"Included"
"2025-06-27T13:32:45.579Z","You","Included in Pro","claude-4-sonnet",82503,1328,701435,79570,864836,"Included"
"2025-06-26T13:45:08.737Z","You","Included in Pro","claude-4-sonnet",68406,187,1006640,33941,1109174,"Included"
"2025-06-26T09:00:31.694Z","You","Included in Pro","claude-4-sonnet",72576,340,950831,46979,1070726,"Included"
"2025-06-26T08:43:16.915Z","You","Included in Pro","claude-4-sonnet",45374,2686,1015711,10510,1074281,"Included"
"2025-06-26T08:35:13.235Z","You","Included in Pro","claude-4-sonnet",45464,824,386395,24033,456716,"Included"
"2025-06-26T08:11:13.889Z","You","Included in Pro","claude-4-sonnet",90696,372,1448026,68631,1607725,"Included"
"2025-06-25T15:57:40.728Z","You","Included in Pro","claude-4-sonnet",231821,1511,1907318,114672,2255322,"Included"
"2025-06-25T15:40:52.137Z","You","Included in Pro","claude-4-sonnet",45576,162,278675,40705,365118,"Included"
"2025-06-25T14:03:51.276Z","You","Included in Pro","claude-4-sonnet",21255,1904,53623,14075,90857,"Included"
"2025-06-25T14:03:31.390Z","You","Errored, Not Charged","claude-4-sonnet",0,0,0,0,0,"Included"
"2025-06-25T13:31:22.122Z","You","Included in Pro","claude-4-sonnet",97260,3843,2604502,31662,2737267,"Included"
"2025-06-25T13:22:47.529Z","You","Included in Pro","claude-4-sonnet",137397,420,1058512,14445,1210774,"Included"
"2025-06-25T12:48:33.817Z","You","Included in Pro","claude-4-sonnet",71374,3856,768425,14481,858136,"Included"
"2025-06-25T12:25:37.949Z","You","Included in Pro","claude-4-sonnet",86421,612,2299859,66715,2453607,"Included"
"2025-06-25T10:37:40.496Z","You","Included in Pro","claude-4-sonnet",65768,8625,1168811,20362,1263566,"Included"
"2025-06-25T10:09:49.763Z","You","Included in Pro","claude-4-sonnet",74914,898,505776,40011,621599,"Included"
"2025-06-25T08:54:43.589Z","You","Included in Pro","claude-4-sonnet",13558,245,26677,7026,47506,"Included"
"2025-06-25T05:56:12.552Z","You","Included in Pro","claude-4-sonnet",17933,218,33579,17751,69481,"Included"
"2025-06-21T16:15:07.003Z","You","Included in Pro","claude-4-sonnet",111322,1481,1254980,57687,1425470,"Included"
"2025-06-21T15:49:26.054Z","You","Included in Pro","claude-4-sonnet",61927,1228,922011,9062,994228,"Included"
"2025-06-21T14:38:49.389Z","You","Included in Pro","claude-4-sonnet",75567,1553,1370014,7923,1455057,"Included"
"2025-06-21T13:54:20.522Z","You","Included in Pro","claude-4-sonnet",84294,388,1649104,55806,1789592,"Included"
"2025-06-21T09:58:04.249Z","You","Included in Pro","claude-4-sonnet",27859,1923,130747,21730,182259,"Included"
"2025-06-21T09:51:51.237Z","You","Errored, Not Charged","claude-4-sonnet",84531,120,7391,780,92822,"Included"
"2025-06-20T11:48:06.237Z","You","Included in Pro","claude-4-sonnet",101108,1224,57883,2970,163185,"Included"
"2025-06-20T11:13:43.685Z","You","Errored, Not Charged","claude-4-sonnet",7336,178,37449,6778,51741,"Included"
"2025-06-20T11:09:31.312Z","You","Included in Pro","claude-4-sonnet",86573,3593,7391,2226,99783,"Included"
"2025-06-20T09:19:10.563Z","You","Included in Pro","claude-4-sonnet",85495,1235,366979,35804,489513,"Included"
"2025-06-20T07:36:08.121Z","You","Included in Pro","claude-4-sonnet",69639,3056,7391,194,80280,"Included"
"2025-06-20T07:16:29.746Z","You","Errored, Not Charged","claude-4-sonnet",299165,3150,1059239,43763,1405317,"Included"
"2025-06-20T07:00:07.840Z","You","Included in Pro","claude-4-sonnet",90522,1644,221623,20725,334514,"Included"
"2025-06-20T06:46:00.319Z","You","Included in Pro","claude-4-sonnet",94637,1001,229199,12360,337197,"Included"
"2025-06-20T06:29:32.254Z","You","Included in Pro","claude-4-sonnet",141990,1086,202401,19900,365377,"Included"
"2025-06-20T06:18:38.932Z","You","Included in Pro","claude-4-sonnet",135130,600,444090,28783,608603,"Included"
"2025-06-20T06:02:29.326Z","You","Included in Pro","claude-4-sonnet",53777,599,298568,38559,391503,"Included"
"2025-06-19T12:46:02.510Z","You","Included in Pro","claude-4-sonnet",86838,171,1816200,57750,1960959,"Included"
"2025-06-19T12:34:51.204Z","You","Included in Pro","claude-4-sonnet",142429,3763,1568041,14502,1728735,"Included"
"2025-06-19T12:05:54.924Z","You","Errored, Not Charged","claude-4-sonnet",80402,410,1188113,65338,1334263,"Included"
"2025-06-19T09:17:03.047Z","You","Included in Pro","claude-4-sonnet",130171,369,234283,14341,379164,"Included"
"2025-06-19T08:42:57.143Z","You","Included in Pro","claude-4-sonnet",86340,1094,613116,24550,725100,"Included"
"2025-06-19T08:28:15.668Z","You","Errored, Not Charged","claude-4-sonnet",0,0,0,0,0,"Included"
"2025-06-19T08:21:19.476Z","You","Included in Pro","claude-4-sonnet",48468,25,297337,10103,355933,"Included"
"2025-06-19T08:10:31.896Z","You","Errored, Not Charged","claude-4-sonnet",17891,194,105351,4172,127608,"Included"
"2025-06-18T17:07:28.613Z","You","Included in Pro","claude-4-sonnet",149145,403,580006,24573,754127,"Included"
"2025-06-18T16:49:00.796Z","You","Included in Pro","claude-4-sonnet",166409,374,1344467,29489,1540739,"Included"
"2025-06-18T16:10:06.128Z","You","Included in Pro","claude-4-sonnet",15154,207,1785765,6937,1808063,"Included"
"2025-06-18T16:08:45.814Z","You","Included in Pro","claude-4-sonnet",58069,25,261142,1679,320915,"Included"
"2025-06-18T15:45:48.547Z","You","Included in Pro","claude-4-sonnet",49533,209,501929,13592,565263,"Included"
"2025-06-18T15:26:15.545Z","You","Included in Pro","claude-4-sonnet-thinking",215267,509,2261269,13440,2490485,"Included"
"2025-06-18T15:12:44.829Z","You","Included in Pro","claude-4-sonnet-thinking",133028,172,2288282,38128,2459610,"Included"
"2025-06-18T15:12:35.780Z","You","Aborted, Not Charged","claude-4-sonnet",0,0,0,0,0,"Included"
"2025-06-18T15:11:01.282Z","You","Included in Pro","claude-4-sonnet",43272,366,7341,2367,53346,"Included"
"2025-06-18T15:03:35.018Z","You","Errored, Not Charged","claude-4-sonnet",42672,294,56627,524,100117,"Included"
"2025-06-18T14:52:40.252Z","You","Included in Pro","claude-4-sonnet",51140,2241,2439416,10744,2503541,"Included"
"2025-06-18T14:41:49.650Z","You","Included in Pro","claude-4-sonnet",84024,2559,1537184,12175,1635942,"Included"
"2025-06-18T13:53:42.746Z","You","Errored, Not Charged","claude-4-sonnet",282,260,7341,136,8019,"Included"
"2025-06-18T09:27:43.490Z","You","Errored, Not Charged","claude-4-sonnet",27811,212,110505,622,139150,"Included"
"2025-06-18T09:06:26.817Z","You","Included in Pro","claude-4-sonnet",26176,18,146197,2173,174564,"Included"
"2025-06-18T07:55:41.436Z","You","Included in Pro","claude-4-sonnet",14589,336,119676,1808,136409,"Included"
"2025-06-18T07:00:22.464Z","You","Included in Pro","claude-4-sonnet",105579,1417,766287,45052,918335,"Included"
"2025-06-18T06:02:03.908Z","You","Included in Pro","claude-4-sonnet",90619,968,919482,20672,1031741,"Included"
"2025-06-18T05:46:58.695Z","You","Included in Pro","claude-4-sonnet",150691,531,934722,41410,1127354,"Included"
"2025-06-18T05:26:58.975Z","You","Included in Pro","claude-4-sonnet",0,0,0,0,0,"Included"
"2025-06-18T05:18:10.613Z","You","Included in Pro","claude-4-sonnet",38890,339,360181,19485,418895,"Included"
"2025-06-18T05:13:08.888Z","You","Errored, Not Charged","claude-4-sonnet",698,284,16539,2214,19735,"Included"
"2025-06-17T18:29:03.695Z","You","Errored, Not Charged","claude-4-sonnet",86709,380,1059456,72282,1218827,"Included"
"2025-06-16T06:23:18.670Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-16T06:14:53.087Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-16T06:10:23.049Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-16T06:03:14.470Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-16T05:54:29.351Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-16T05:54:09.700Z","You","Errored, Not Charged","claude-4-sonnet-thinking","","","","","","Included"
"2025-06-16T05:45:57.857Z","You","Included in Pro","claude-4-sonnet-thinking","","","","","","Included"
"2025-06-16T03:43:47.141Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-16T03:11:06.250Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-16T03:01:50.336Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-16T02:49:40.091Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-15T17:18:10.387Z","You","Errored, Not Charged","claude-4-sonnet","","","","","","Included"
"2025-06-15T17:12:00.747Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-15T17:07:58.380Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-15T17:04:37.470Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-15T16:57:24.525Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-15T11:48:29.819Z","You","Errored, Not Charged","claude-4-sonnet","","","","","","Included"
"2025-06-13T08:53:39.489Z","You","Errored, Not Charged","claude-4-sonnet","","","","","","Included"
"2025-06-13T08:35:54.542Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-13T08:34:01.112Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-13T08:12:09.282Z","You","Included in Pro","claude-4-sonnet-thinking","","","","","","Included"
"2025-06-11T15:13:12.839Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-11T15:02:25.295Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-11T13:37:21.342Z","You","Included in Pro","claude-4-sonnet","","","","","","Included"
"2025-06-07T11:35:05.629Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T09:20:31.862Z","You","Errored, Not Charged","gpt-4.1","","","","","","Included"
"2025-06-07T08:54:33.476Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T07:13:57.864Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T07:05:28.993Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:53:00.292Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:49:11.864Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:42:50.466Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:42:02.027Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:39:09.373Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:37:45.724Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:35:26.385Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:33:57.652Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:32:45.814Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T06:31:27.532Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T05:51:07.917Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T03:00:23.606Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-07T02:56:14.470Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T02:36:02.226Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T02:34:14.879Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-07T02:32:56.008Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:57:55.657Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T17:57:08.949Z","You","Errored, Not Charged","o4-mini","","","","","","Included"
"2025-06-06T17:56:32.036Z","You","Errored, Not Charged","o4-mini","","","","","","Included"
"2025-06-06T17:55:31.067Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T17:53:58.999Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T17:52:25.446Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T17:51:35.616Z","You","Errored, Not Charged","o4-mini","","","","","","Included"
"2025-06-06T17:49:58.277Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T17:48:03.363Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T17:44:28.605Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T17:41:29.429Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:39:31.924Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:37:54.718Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:36:29.125Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:34:37.509Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:30:21.907Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:26:26.076Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:23:51.645Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:21:58.480Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:20:22.647Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:18:02.958Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:06:20.848Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T17:04:02.385Z","You","Errored, Not Charged","gpt-4.1","","","","","","Included"
"2025-06-06T17:03:13.128Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:58:35.362Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:56:04.405Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:53:06.847Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:46:11.263Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T16:40:53.699Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T16:39:08.259Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T16:36:44.855Z","You","Errored, Not Charged","o4-mini","","","","","","Included"
"2025-06-06T16:34:56.031Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T16:33:12.495Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T16:30:24.090Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T16:26:50.807Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T16:20:24.039Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-06T16:18:20.618Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:17:27.386Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:14:38.840Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:12:44.671Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:12:30.035Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:11:29.429Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:10:35.607Z","You","Errored, Not Charged","gpt-4.1","","","","","","Included"
"2025-06-06T16:09:32.471Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:06:08.599Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:02:53.721Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T16:01:33.605Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:58:56.521Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:55:48.401Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:53:57.903Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:43:46.743Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:43:00.886Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:42:11.824Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:41:22.017Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:39:45.469Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:38:01.564Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:36:23.926Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:35:18.984Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:32:48.211Z","You","Errored, Not Charged","gpt-4.1","","","","","","Included"
"2025-06-06T15:30:37.203Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T15:28:33.244Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T12:22:05.892Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T12:04:50.785Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T12:01:57.202Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:58:23.903Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:52:23.790Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:51:08.511Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:48:54.544Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:44:42.170Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:40:41.667Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:33:46.347Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:31:36.083Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:27:19.284Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:24:33.891Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:06:27.627Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T11:00:17.158Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T10:54:12.359Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T10:51:26.199Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T10:48:48.097Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T10:45:25.990Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-06T10:43:37.486Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-05T14:43:00.861Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-05T14:39:11.972Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-05T14:35:08.805Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-05T14:30:07.163Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-05T14:29:06.090Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-05T14:25:55.671Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-04T15:20:43.680Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-04T14:17:01.425Z","You","Included in Pro","o4-mini","","","","","","Included"
"2025-06-04T13:56:54.857Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-04T13:56:38.790Z","You","Included in Pro","gpt-4.1","","","","","","Included"
"2025-06-04T13:28:32.955Z","You","Included in Pro","gpt-4.1","","","","","","Included"
